timestamp,symbol,timeframe,side,zone_low,zone_high,publication_drop_step,detector_alignment,detector_type,detector_confidence,detector_score,detector_timeframe,detector_time_diff_min,detector_zone_gap_pct
2026-07-03T18:42:00+03:00,1000PEPEUSDT,1m,support,0.0025273,0.0025277,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,71.79498247537293,1m,2.0,0.34314
2026-07-03T04:06:00+03:00,SNDKUSDT,1m,support,1779.4,1782.41,allowed_filter,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,58.51999999999999,5m,1.0,0.03816
2026-07-03T03:18:00+03:00,SOXLUSDT,1m,support,181.5,181.82,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,77.72099622024623,1m,16.0,0.1922
2026-07-04T17:58:00+03:00,THEUSDT,1m,support,0.06271,0.06276,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,93.54563343051788,5m,2.0,0.0
2026-07-06T23:05:00+03:00,SAMSUNGUSDT,15m,resistance,212.63,213.27,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,61.24999999999999,1m,38.0,0.40741
2026-07-06T17:48:00+03:00,SPCXUSDT,5m,support,160.19,160.72,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,61.24999999999999,1m,4.0,0.0
2026-07-06T17:11:00+03:00,MUUSDT,1m,resistance,1013.85,1015.02,allowed_filter,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,57.56745258484912,1m,5.0,0.33156
2026-07-06T16:54:00+03:00,MRVLUSDT,5m,resistance,258.14,258.84,allowed_filter,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,59.68594809092805,1m,15.0,0.0
2026-07-06T16:53:00+03:00,MRVLUSDT,3m,resistance,258.84,259.59,allowed_filter,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,55.76333159276723,1m,20.0,0.0
2026-07-06T16:39:00+03:00,SPCXUSDT,1m,support,162.62,162.81,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,53.02729471257196,1m,17.0,0.0
2026-07-06T04:58:00+03:00,VANRYUSDT,5m,resistance,0.005827,0.005838,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,81.79988361496856,1m,2.0,0.0
2026-07-06T04:48:00+03:00,SNDKUSDT,5m,support,1820.01,1820.34,classification_mismatch/published_not_confirmed_breakout,breakout_confirmed_aligned,test,confirmed,56.09570061076185,5m,8.0,0.0
2026-07-07T20:42:00+03:00,MUUSDT,5m,resistance,947.75,950.49,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,66.86236654523374,5m,17.0,0.0
2026-07-07T17:15:00+03:00,SPCXUSDT,1h,support,146.87,148.17,batch_limit,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,71.13333333333333,1h,105.0,0.0
2026-07-07T15:31:00+03:00,KORUUSDT,1m,resistance,565.77,568.47,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,76.72093572778832,1m,10.0,0.0
2026-07-07T09:51:00+03:00,LABUSDT,1m,support,13.5,13.555,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,78.7,5m,14.0,0.0
2026-07-07T05:16:00+03:00,LITUSDT,1m,resistance,2.6254,2.6401,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,75.38496901586824,1m,35.0,0.26349
2026-07-08T15:56:00+03:00,UNIUSDT,1m,resistance,3.333,3.342,allowed_filter,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,56.34538460683681,5m,1.0,0.0
2026-07-08T12:36:00+03:00,TACUSDT,5m,support,0.003201,0.003342,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,low_confidence,61.24999999999999,1m,2.0,0.0
2026-07-08T11:31:00+03:00,UNIUSDT,5m,support,3.125,3.14,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,67.45557728170269,5m,1.0,0.0
2026-07-08T06:13:00+03:00,LITUSDT,3m,resistance,2.4962,2.502,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,68.99482380821256,1m,0.0,0.0
2026-07-08T01:47:00+03:00,VANRYUSDT,3m,support,0.006276,0.0063,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,78.625,1m,4.0,0.0
2026-07-09T04:56:00+03:00,SOXLUSDT,1m,support,173.61,173.68,classification_mismatch/published_not_confirmed_breakout,classification_mismatch_zone_found_not_confirmed_breakout,test,confirmed,76.375,1m,1.0,0.0
